Beleggingsadviseur Waterbouw BPF,Delta Lloyd
Beleggingsadviseur Rabobankorganisatie,Delta Lloyd
Herverzekeraar Huntsman Rozenburg,on
Accountant Groothandel,Mazars
Herverzekeraar Het Nederlandse Pensioenfonds,Zwitserleven
Compliance officer Abbott Nederland,non-external
Compliance officer Buizerdlaan,KPMG
Custodian McCain,Northern Trust
Herverzekeraar Beroepsvervoer over de Weg,Elips Life
Compliance officer Personeelspensioenfonds APF,Nederlands Compliance Instituut
Compliance officer Rabobankorganisatie,Nederlands Compliance Instituut
Custodian Timeos,Kas Bank
Herverzekeraar Henkel,Centraal Beheer Achmea
Custodian Telegraafpensioenfonds 1959,Northern Trust
Beleggingsadviseur Schoenmakerij,Sprenkels en Verschuren
Compliance officer Alcatel-Lucent,Nederlands Compliance Instituut
Beleggingsadviseur Medewerkers Apotheken,Mercer
Beleggingsadviseur Sanoma Magazines Nederland,TKP
Compliance officer Schoenmakerij,non-external
Fiduciair Manager Zorg en Welzijn,Robeco
Custodian Getronics,State Street
Herverzekeraar Achmea Personeel,Elips Life
Custodian Huisartsen in Opleiding,Kas Bank
Eind contract pensioenadministrateur ARCADIS Nederland,Syntrus Achmea
Herverzekeraar ANWB P,on
Herverzekeraar Pensura,on
Herverzekeraar DSM Nederland,Zwitserleven
Eind contract pensioenadministrateur AT&T Nederland,TKP
Herverzekeraar Bibliotheken openbare,on
Herverzekeraar Cargill,Centraal Beheer Achmea
Herverzekeraar Ring Transavia grondpersoneel,on
Adviserend Actuaris KPN,Mercer
Herverzekeraar Smurfit Kappa Nederland,on
Herverzekeraar Forbo,Elips Life
Accountant BMO,EY
Herverzekeraar Beroepsvervoer over de Weg,on
Beleggingscommissie TKP,NCA
Beleggingscommissie Provisum,Kas Bank
Herverzekeraar Bisdommen,Elips Life
Eind contract pensioenadministrateur Detailhandel,AZL
Beleggingsadviseur Tandartsen en Tandarts-Specialisten,Montesquieu
Accountant Chevron,Deloitte
Eind contract pensioenadministrateur OWASE P,TKP
Herverzekeraar Transport,Zwitserleven
Eind contract herverzekeraar AHOLD,Zwitserleven
Beleggingsadviseur Kas Bank,Cardano
Accountant Progress Unilever,Deloitte
Beleggingsadviseur Rabobankorganisatie,Strategeon
Vermogensbeheer Media PNO,Robeco
Vermogensbeheer AFM,Russell
Vermogensbeheer IKEA,Crédit Suisse
Eind contract pensioenadministrateur Allianz Nederland,Syntrus Achmea
Herverzekeraar Huisartsen,on
Adviserend Actuaris Schoonmaak- en Glazenwassersbedrijf,Sprenkels en Verschuren
Accountant AZL,EY
Adviserend Actuaris Grolsche bierbrouwerij,Sprenkels en Verschuren
Eind contract pensioenadministrateur DSM Nederland,Syntrus Achmea
Beleggingsadviseur Unilever NL Forward,ICC
Beleggingsadviseur Abbott Nederland,State Street
Herverzekeraar Reisbranche,De Amersfoortse
Eind contract herverzekeraar Agrarische en Voedselvoorzieningshandel,De Amersfoortse
Adviserend Actuaris Staples,Syntrus Achmea
Beleggingsadviseur IKEA,Mercer
Beleggingsadviseur Shell,Mercer
Herverzekeraar Unilever NL Forward,Elips Life
Beleggingsadviseur Hewlett-Packard,ORTEC
Adviserend Actuaris Technische Groothandel Vroeg,Syntrus Achmea
Eind contract pensioenadministrateur PGB,Syntrus Achmea
Adviserend Actuaris Robeco,Syntrus Achmea
Herverzekeraar Ballast Nedam,Zwitserleven
Herverzekeraar Russell,Elips Life
Accountant Ballast Nedam,KPMG
Herverzekeraar Will Niemeijer,on
Eind contract pensioenadministrateur Sportfondsen,PGGM
Eind contract pensioenadministrateur CRH,Blue Sky Group
Eind contract pensioenadministrateur Cosun,TKP
Pensioenadministratie APG,TKP
Accountant APG,EY
Beleggingsadviseur ABN AMRO Bank,KCM
Eind contract pensioenadministrateur Huisartsen in Opleiding,TKP
Herverzekeraar PepsiCo Nederland,nvt
Eind contract pensioenadministrateur Co-op,TKP
Eind contract pensioenadministrateur Archimedes,AZL
Herverzekeraar Sportfondsen,on
"Accountant Metalektro, bedrijfstakpensioenfonds",PwC
Beleggingsadviseur TNT express,Sirks Interim Management
Beleggingscommissie PepsiCo Nederland,Sirks Interim Management
Accountant Metro,KPMG
Adviserend Actuaris APF,Willis Towers Watson
Herverzekeraar Media PNO,Zwitserleven
Raad van toezicht Zorgverzekeraars,ICC
Herverzekeraar Flexsecurity,nvt
Herverzekeraar UWV,Aegon
Herverzekeraar Deloitte,Delta Lloyd
Herverzekeraar Robeco,Elips Life
Eind contract pensioenadministrateur Beroepsvervoer over de Weg,TKP
Beleggingsadviseur Textielgoederen en Aanverwante Artikelen Groothandel,ICC
Certificerend Actuaris Horecabedrijf,Mercer
Eind contract pensioenadministrateur Vopak,Syntrus Achmea
Beleggingsadviseur Sanoma Magazines Nederland,Sprenkels en Verschuren
Beleggingscommissie MN,Sprenkels en Verschuren
Accountant IFF,PwC
Certificerend Actuaris Ring Haskoning,Willis Towers Watson
Herverzekeraar Dow,SCOR
Eind contract pensioenadministrateur Urenco Nederland,AZL
Herverzekeraar Reisbranche,Zwitserleven
Accountant Media PNO,Sprenkels en Verschuren
Herverzekeraar MN,nvt
Accountant NN,EY
Adviserend Actuaris ORTEC,PwC
"Beleggingsadviseur Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",Mercer
Beleggingsadviseur Personeelsdiensten,ACTIAM
Herverzekeraar General Electric Nederland,on
Fiduciair Manager Holland Casino,Robeco
Adviserend Actuaris Openbaar Vervoer,Syntrus Achmea
"Herverzekeraar Schoen-, Leder- en Lederwarenindustrie",Elips Life
Eind contract herverzekeraar Huysman,Elips Life
Eind contract pensioenadministrateur OWASE P,Syntrus Achmea
Certificerend Actuaris Bavaria,Mercer
Eind contract pensioenadministrateur Unirobe Meeus groep,TKP
Vermogensbeheer TNT express,Aberdeen
Vermogensbeheer E-Way,BlackRock
Vermogensbeheer Metaal en Techniek,KCM
Vermogensbeheer Chemours Nederland,Vanguard
Accountant Aon Groep Nederland,Deloitte
Certificerend Actuaris Grolsche bierbrouwerij,Mercer
Eind contract herverzekeraar TrueBlue,Aegon
Accountant ERIKS,EY
Herverzekeraar Will Niemeijer,Elips Life
Eind contract herverzekeraar Unisys Nederland,Elips Life
Pensioenbureau AZL,Randstad
Vermogensbeheer Abbott Nederland,PIMCO
Vermogensbeheer AT&T Nederland,Rogge
Vermogensbeheer Loodsen,BlackRock
Vermogensbeheer Alcatel-Lucent,Aberdeen
Vermogensbeheer Buizerdlaan,Allianz
Vermogensbeheer Invista,Capital International
Vermogensbeheer Sportfondsen,CBRE
Eind contract herverzekeraar Levensmiddelenbedrijf,Zwitserleven
Accountant FORD Nederland,EY
Herverzekeraar Kas Bank,Zwitserleven
Accountant Heineken,EY
Eind contract herverzekeraar Notariaat,Zwitserleven
Vermogensbeheer McCain,Vanguard
Vermogensbeheer Vitol Anker,ABN Amro
Herverzekeraar SCA,nvt
Beleggingscommissie VNU,Mercer
Eind contract herverzekeraar Henkel,Zwitserleven
Herverzekeraar Abbott Nederland,Goudse
Eind contract pensioenadministrateur Zorg en Welzijn,AZL
Accountant Wonen,Mercer
Eind contract pensioenadministrateur Alliance,TKP
Herverzekeraar KPN,nvt
Beleggingsadviseur Huisartsen in Opleiding,Sprenkels en Verschuren
Accountant IBM Nederland,PwC
Bestuursbureau Urenco Nederland,Bestuursbureau Stichting Pensioenfonds Achmea
Herverzekeraar Architectenbureaus,Centraal Beheer Achmea
Accountant Particuliere Beveiliging,Deloitte
Beleggingsadviseur De Nationale,ICC
Certificerend Actuaris Allianz Nederland,Triple A
Herverzekeraar Media PNO,nvt
Accountant ORTEC,Deloitte
Herverzekeraar AZL,on
Eind contract herverzekeraar NIBC,Aegon
Beleggingsadviseur Ecolab,Sprenkels en Verschuren
Accountant AT&T Nederland,PwC
Vermogensbeheer De Nationale,ACTIAM
Vermogensbeheer Trespa,BMO
Vermogensbeheer Ballast Nedam,CBRE
Vermogensbeheer Personeelspensioenfonds APF,Synvest Real Estate
Vermogensbeheer Schoonmaak- en Glazenwassersbedrijf,Bouwinvest
Vermogensbeheer Accountancy,State Street
Vermogensbeheer Meubelindustrie en Meubileringsbedrijven,Neuberger Berman
Vermogensbeheer Kappersbedrijf,Altera
Vermogensbeheer NN CDC fonds,First Liability Matching
Adviserend Actuaris Wonen,Mercer
Accountant Nedlloyd,Deloitte
Herverzekeraar Hewlett-Packard,Aegon
Herverzekeraar Grontmij,Generali / Nederlanden van 1870
Herverzekeraar Apothekers,NN
Beleggingscommissie Trespa,Sprenkels en Verschuren
Beleggingsadviseur Gasunie,Sprenkels en Verschuren
Visitatiecommissie TNT express,Aegon
Fiduciair Manager Unisys Nederland,non-external
Certificerend Actuaris BlackRock,Willis Towers Watson
Adviserend Actuaris Progress Unilever,Sprenkels en Verschuren
Accountant Ballast Nedam,EY
Pensioenadministratie Hewlett-Packard,AZL
Bestuur McCain,ICC
Custodian Accountancy,Kas Bank
Accountant IBM Nederland,BDO
Certificerend Actuaris Douwe Egberts,Triple A
Beleggingsadviseur Kappersbedrijf,ICC
Eind contract pensioenadministrateur Sagittarius,Syntrus Achmea
Herverzekeraar UWV,Elips Life
"Eind contract herverzekeraar Schilders-, Afwerkings- en Glaszetbedrijf",Elips Life
Eind contract herverzekeraar McCain,Elips Life
Certificerend Actuaris Fysiotherapeuten,Edmond Halley
Herverzekeraar Flexsecurity,Zwitserleven
Vermogensbeheer PPG Industries Nederland,BlackRock
Vermogensbeheer AZL,Northern Trust
Vermogensbeheer IBM Nederland,BlackRock
Vermogensbeheer Bisdommen,Horsley Bridge
Certificerend Actuaris Betonproduktenindustrie,PwC
Herverzekeraar AXA,Zwitserleven
Eind contract herverzekeraar Invista,Zwitserleven
Adviserend Actuaris Croda,Aon Hewitt
Fiduciair Manager Tandtechniek,non-external
Adviserend Actuaris Abbott Nederland,Mercer
Certificerend Actuaris Ecolab,Willis Towers Watson
Herverzekeraar Recreatie (SPR),Goudse
Accountant Smurfit Kappa Nederland,PwC
Certificerend Actuaris ANWB P,Milliman
Compliance officer Ring Transavia cabinepersoneel,Nederlands Compliance Instituut
Compliance officer Avery Dennison,Nederlands Compliance Instituut
Adviserend Actuaris Mercer,Sprenkels en Verschuren
Adviserend Actuaris Particuliere Beveiliging,Aon Hewitt
Accountant Robeco,KPMG
Certificerend Actuaris Hoogovens,Triple A
Pensioenadministratie Dow,non-external
Herverzekeraar Recreatie (SPR),Elips Life
Fiduciair Manager Grolsche bierbrouwerij,NN
Beleggingsadviseur Gasunie,Asset Advisors
Eind contract pensioenadministrateur KLM-Cabinepersoneel,Syntrus Achmea
Fiduciair Manager KCM,non-external
Accountant Houtverwerkende industrie,Aon Hewitt
Certificerend Actuaris Smurfit Kappa Nederland,KPMG
Herverzekeraar Hagee,SCOR
Eind contract herverzekeraar Ernst & Young,SCOR
Accountant De Nationale,PwC
Pensioenadministratie Ernst & Young,Dion Pension Services
Adviserend Actuaris Horecabedrijf,Aon Hewitt
Adviserend Actuaris NN CDC fonds,Mercer
Adviserend Actuaris Holland Casino,Mercer
Herverzekeraar Betonproduktenindustrie,Delta Lloyd
Pensioenadministratie Meubelindustrie en Meubileringsbedrijven,Delta Lloyd
Accountant VNU,BDO
Certificerend Actuaris Fresenius Nederland,Triple A
Fiduciair Manager Henkel,nvt
"Pensioenadministratie Metalektro, bedrijfstakpensioenfonds",Appel Pensioenuitvoering
Fiduciair Manager Huntsman Rozenburg,BNP
Accountant Tandartsen en Tandarts-Specialisten,Mazars
Adviserend Actuaris Archimedes,Willis Towers Watson
Certificerend Actuaris SPF beheer,Willis Towers Watson
Beleggingsadviseur Rijn- en Binnenvaart,Willis Towers Watson
Herverzekeraar Spoorwegpensioenfonds,Zwitserleven
Fiduciair Manager Huisartsen,Brand new day
Pensioenadministratie McCain,AZL
Accountant Atos Origin,Mazars
Certificerend Actuaris Equens,Ruigrok
Herverzekeraar BP,Zwitserleven
Vermogensbeheer Grontmij,Robeco
Vermogensbeheer Witteveen & Bos,CBRE
Vermogensbeheer SNS Reaal Groep,BlackRock
Accountant Hagee,KPMG
Certificerend Actuaris Sligro Food Group, Confident
Herverzekeraar Forbo,on
Eind contract pensioenadministrateur Vitol Anker,APG
Beleggingsadviseur TBI,Ballendux
Eind contract pensioenadministrateur Kappersbedrijf,Syntrus Achmea
Accountant BlackRock,EY
Herverzekeraar Betonproduktenindustrie,NN
Adviserend Actuaris Sigarenindustrie en aanverwante Bedrijven,Blue Sky Group
Vermogensbeheer BP,PIMCO
Vermogensbeheer APG,BlackRock
Herverzekeraar Koopvaardij,on
Eind contract pensioenadministrateur IBM Nederland,Aon Hewitt
Beleggingscommissie Roeiers in het Rotterdamse havengebied,Willis Towers Watson
Beleggingsadviseur Ring Transavia grondpersoneel,Willis Towers Watson
Pensioenadministratie Wolters Kluwer Nederland,non-external
Fiduciair Manager Douwe Egberts,NN
Herverzekeraar OWASE P,on
Accountant PepsiCo Nederland,KPMG
Certificerend Actuaris VNU,Willis Towers Watson
Fiduciair Manager Zorgverzekeraars,NN
Certificerend Actuaris Timeos,Mercer
Herverzekeraar Metaal en Techniek,Zwitserleven
Adviserend Actuaris Avery Dennison,Sprenkels en Verschuren
Adviserend Actuaris Lanschot,Sprenkels en Verschuren
Pensioenadministratie NN,Aon Hewitt
Fiduciair Manager TNO,Aegon
Beleggingsadviseur AZL,Aon Hewitt
Adviserend Actuaris De Nationale,Aon Hewitt
Certificerend Actuaris Trespa,EY
Accountant Delta Lloyd,EY
Herverzekeraar Brocacef,Zwitserleven
Eind contract herverzekeraar Bouwnijverheid,Zwitserleven
Fiduciair Manager Bouwnijverheid,AXA
Eind contract pensioenadministrateur Flexsecurity,Syntrus Achmea
Herverzekeraar Agrarische en Voedselvoorzieningshandel,nvt
Eind contract pensioenadministrateur ABN AMRO Bank,Aon Hewitt
Beleggingscommissie Nederlandsche Bank,Albrecht Advies
Visitatiecommissie Honeywell,Strategeon
Adviserend Actuaris Tandtechniek,Buck
Certificerend Actuaris Drankindustrie,Buck
Accountant Notariaat,KPMG
Fiduciair Manager Roba,KCM
Herverzekeraar MPD,Zwitserleven
Adviserend Actuaris Nederlandsche Bank,Willis Towers Watson
Adviserend Actuaris Stap,Syntrus Achmea
Pensioenadministratie UWV,Aegon
Pensioenadministratie Cargill,Zwitserleven
Herverzekeraar IKEA,Aegon
Herverzekeraar MN,Zwitserleven
Vermogensbeheer Zoetwarenindustrie,ACTIAM
Vermogensbeheer Rabobankorganisatie,Aegon
Accountant Stap,Deloitte
Certificerend Actuaris Woningcorporaties,Willis Towers Watson
Adviserend Actuaris Wolters Kluwer Nederland,Willis Towers Watson
Adviserend Actuaris DSM Nederland,AZL
Certificerend Actuaris Waterbouw BPF,Willis Towers Watson
Accountant FORD Nederland,KPMG
Pensioenadministratie Schoenmakerij,AZL
Fiduciair Manager Ring Transavia grondpersoneel,BlackRock
Pensioenadministratie Zuivel en aanverwante industrie,Appel Pensioenuitvoering
"Adviserend Actuaris Metalektro, bedrijfstakpensioenfonds",Sprenkels en Verschuren
Eind contract pensioenadministrateur Randstad,Appel Pensioenuitvoering
Herverzekeraar Russell,Elips Life
Eind contract herverzekeraar TOTAL,Elips Life
Certificerend Actuaris Wonen,Triple A
Accountant Werk en (re)Integratie,KPMG
Pensioenadministratie Levensmiddelenbedrijf,Xerox
Adviserend Actuaris Waterbouw BPF,Mercer
Certificerend Actuaris Mn Services,Mercer
Accountant Huisartsen,PwC
Fiduciair Manager YARA Nederland,NN
Pensioenadministratie Gasunie,non-external
Fiduciair Manager NN,Kas Bank
Vermogensbeheer SNS Reaal Groep,State Street
Adviserend Actuaris Lombard Odier,Willis Towers Watson
Certificerend Actuaris ORTEC,Willis Towers Watson
Accountant ANWB P,KPMG
Herverzekeraar AVEBE,Elips Life
Eind contract herverzekeraar ING Bank CDC fonds,Elips Life
Adviserend Actuaris SC Johnson,Willis Towers Watson
Vermogensbeheer KLM-Cabinepersoneel,NN
Vermogensbeheer Atradius,NN
Vermogensbeheer General Electric Nederland,NN
Vermogensbeheer Meubelindustrie en Meubileringsbedrijven,NN
Vermogensbeheer Albemarle,BlackRock
Vermogensbeheer Equens,BlackRock
Vermogensbeheer Equens,Altera
Adviserend Actuaris Ring DHV,Triple A
Herverzekeraar PGGM,Zwitserleven
Eind contract pensioenadministrateur Cate Koninklijke,TKP
Adviserend Actuaris Russell,Mercer
Vermogensbeheer Sportfondsen,Vanguard
Vermogensbeheer SCA,BlackRock
Vermogensbeheer Getronics,Altera
Pensioenadministratie TKP,Appel Pensioenuitvoering
Beleggingsadviseur Schoonmaak- en Glazenwassersbedrijf,ICC
Vermogensbeheer Verloskundigen,ACTIAM
Vermogensbeheer Protector,BlackRock
Vermogensbeheer AXA,PIMCO
Vermogensbeheer KLM-Cabinepersoneel,Altera
Vermogensbeheer Stap,CBRE
Vermogensbeheer Witteveen & Bos,State Street
Vermogensbeheer Allianz Nederland,BNP
Pensioenadministratie Vopak,Appel Pensioenuitvoering
Eind contract pensioenadministrateur YARA Nederland,TKP
Vermogensbeheer Vitol Anker,Robeco
Vermogensbeheer Zuivel en aanverwante industrie,AQR
Vermogensbeheer British American Tobacco,Panagora
Vermogensbeheer SCA,Achmea IM
Beleggingsadviseur Technische Groothandel Vroeg,Cardano
Beleggingsadviseur Unirobe Meeus groep,Achmea IM
Vermogensbeheer AT&T Nederland,Cardano
Vermogensbeheer Hewlett-Packard,Syntrus Achmea
Vermogensbeheer Douwe Egberts,Robeco
Vermogensbeheer IFF,Robeco
Vermogensbeheer Thales,Robeco
Vermogensbeheer Apothekers,Panagora
Vermogensbeheer Allianz Nederland,AQR
Vermogensbeheer FORD Nederland,Numeric
Vermogensbeheer Invista,Schroders
Vermogensbeheer Apothekers,AXA
Vermogensbeheer GE Artesia Bank,Dimensional
Vermogensbeheer AXA,Quoniam
Vermogensbeheer Zuivel en aanverwante industrie,Robeco
Vermogensbeheer Particuliere Beveiliging,Robeco
Beleggingsadviseur Achmea IM,BMO
Vermogensbeheer Achmea IM,BlackRock
Vermogensbeheer Landbouw,BMO
Vermogensbeheer Huntsman Rozenburg,State Street
Vermogensbeheer Ring Haskoning,UBS
Vermogensbeheer Mars,UBS
Vermogensbeheer Xerox,UBS
Vermogensbeheer Achmea IM,UBS
Vermogensbeheer AZL,Robeco
Vermogensbeheer Roeiers in het Rotterdamse havengebied,Schroders
Vermogensbeheer Consumentenbond,BMO
Vermogensbeheer NN,State Street
Vermogensbeheer Sanoma Magazines Nederland,Schroders
Vermogensbeheer Zorg en Welzijn,BlackRock
Vermogensbeheer Vopak,Aberdeen
Vermogensbeheer AFM,Morgan Stanley
Vermogensbeheer Nederlandsche Bank,BlackRock
Vermogensbeheer Vitol Anker,Legal & General
Vermogensbeheer Dow,Nordea/Capital Four
Vermogensbeheer Woningcorporaties,Nordea / Mackay Shields
Vermogensbeheer FORD Nederland,State Street
Vermogensbeheer Allianz Nederland,Partners Group
Vermogensbeheer Verloskundigen,Financiële Diensten Amsterdam
Vermogensbeheer Bouwnijverheid,Lupus Alpha
Vermogensbeheer Security,Aberdeen
Vermogensbeheer Provisum,Principal Global Investors
Vermogensbeheer Rockwool,Robeco
Vermogensbeheer Citigroup Nederland,MPD
Vermogensbeheer Sagittarius,BlueBay
Vermogensbeheer Invista,PIMCO
Vermogensbeheer Abbott Nederland,Ashmore
Vermogensbeheer APG,Stone Harbor
Vermogensbeheer Zorgverzekeraars,ACTIAM
Vermogensbeheer PPG Industries Nederland,Syntrus Achmea
Vermogensbeheer ANWB P,Grontmij Capital Consultants
Vermogensbeheer Rabobankorganisatie,Grontmij Capital Consultants
Vermogensbeheer Houtverwerkende industrie,SPF
Vermogensbeheer Cindu International,Northern Trust
Vermogensbeheer FORD Nederland,Aberdeen
Vermogensbeheer Bakkersbedrijf BPF,BlackRock
Vermogensbeheer Ring Transavia grondpersoneel,Dimensional
Vermogensbeheer Metaal en Techniek,AXA
Vermogensbeheer Robeco AM,JP Morgan
Vermogensbeheer Personeelspensioenfonds APG,Rogge
Vermogensbeheer Transport,Nordea
Vermogensbeheer Detailhandel,PIMCO
Vermogensbeheer ORTEC,Stone Harbor
Vermogensbeheer Robeco,Diverse managers
Vermogensbeheer Alliance,Northern Trust
Vermogensbeheer Schoenmakerij,Gronsver
Vermogensbeheer DSM Nederland,BlackRock
Vermogensbeheer Invista,State Street
Vermogensbeheer Nike Nederland,AXA
Vermogensbeheer MSD,Northern Trust
Vermogensbeheer General Electric Nederland,JP Morgan
Vermogensbeheer BlackRock,Rogge
Vermogensbeheer Personeelspensioenfonds APG,Nordea
Vermogensbeheer Henkel,BlackRock
Vermogensbeheer KCM,PIMCO
Vermogensbeheer Heijmans,Gronsver
Vermogensbeheer Fysiotherapeuten,Aberdeen
